message_id,action,message_type,reason,confidence,evidence_message_ids
sample_msg_001,notify,business_update,"Critical, time-sensitive update regarding essential utility service (water supply) from an established community notice group, following previous related warnings in history.",0.75,message_0001;message_0271;message_0129
sample_msg_002,notify,event,"Contains critical, time-sensitive logistical updates regarding school transportation schedules and mandatory drop-off times, requiring immediate attention.",0.95,message_0002;message_0133;message_0209
sample_msg_003,notify,business_update,Time-sensitive work update regarding an EOD client note that requires immediate input (failed payments/queue numbers). High relevance based on group context and repeated history.,0.9,message_0003;message_0170;message_0060
sample_msg_004,notify,business_update,"The message is a direct follow-up regarding an order (ending 4821) that the user has previously engaged with and shown interest in (opened/replied to multiple times). Since it relates to physical delivery, it is time-sensitive and important.",0.95,message_0239;message_0004;message_0105
sample_msg_005,notify,business_update,"The message is from a verified healthcare provider regarding an upcoming appointment, and the user has a strong history of opening and replying to similar health-related updates.",0.92,message_0245;message_0005;message_0064
sample_msg_006,notify,personal,"The message is a direct, time-sensitive request regarding confirmed group logistics (Sunday pickup/cab count), building on previous interactions about the same event.",0.75,message_0006;message_0250
sample_msg_007,digest,promotion,"The message is a promotional travel offer (Ladakh trip) from a business sender, which aligns with the user's past engagement history regarding 'When did a trip last change something about how you see yourself?' The content is marketing material and should be routed as low-priority digest.",0.55,message_0272;message_0033;message_0007
sample_msg_008,notify,event,"Important and actionable community reminder regarding an upcoming cultural event with a deadline, following up on previous communication in the group.",0.77,message_0008
sample_msg_009,digest,greeting,"This is a low-stakes, positive 'good morning' message within an established family group chat. Given the user's history of opening similar greetings, it should be treated as useful but non-urgent background content.",0.7,message_0009
sample_msg_010,notify,event,"The message relates to a specific shared activity (watching a match) and directly follows up on a highly relevant topic noted in the recent history, indicating timely group coordination.",0.75,message_0010;message_0038
sample_msg_011,digest,business_update,"The message is a routine, non-urgent feedback request from a verified business (PVR Cinemas) that the user has previously engaged with and opened similar messages from in the past. This indicates acceptance of this type of communication.",0.75,message_0011;message_0242;message_0075
sample_msg_012,digest,promotion,"The message is a classified ad for used goods (cycle helmet), which aligns with the user's relevant history of interest in cycling equipment, making it potentially useful but not urgent.",0.77,message_0012
sample_msg_013,mute,greeting,"The user has explicitly muted this group and the content is repetitive, low-value, and heavily forwarded, aligning with previous dismissed messages.",0.9,message_0014;message_0077;message_0171
sample_msg_014,mute,spam,"The message is heavily forwarded and contains vague, unverified health advice, classifying it as potential misinformation/spam.",0.51,message_0016
sample_msg_015,mute,promotion,"The user has explicitly opted out of promotions from this business (food_promotions_opted_out: Yes). Furthermore, the content is a promotional offer ('50% Off Won't Wait!') and the safety context indicates high reports against this business.",0.92,message_0017;message_0258;message_0018
sample_msg_019,mute,scam,"Repeated phishing attempt using high-pressure 'security alert' language and directing users to a suspicious external link (account-login.in), matching known scam patterns.",0.9,message_0045;message_0023;message_0174
sample_msg_020,mute,scam,The message is a classic phishing attempt using urgency ('blocked in 2 hours') to solicit credentials (password/OTP). This is strongly corroborated by the 'USER PREVIOUSLY REPORTED' safety flag and the user's history of reporting similar scam messages.,0.75,message_0024;message_0087;message_0183
sample_msg_041,notify,personal,"The message is a voice note from an extended family group, indicating personal conversation and relevance based on recent history of interaction with the sender/group.",0.59,message_0046
sample_msg_042,notify,personal,"The message originates from the Extended Family group, which is a high-relevance source. The presence of new media (voice note) suggests shared personal content that warrants immediate notification.",0.75,message_0035
sample_msg_043,mute,spam,"The sender is a business that the user has explicitly opted out of, the relationship history is marked as 'ignored_loan_message', and there are multiple critical safety flags including HIGH REPORTS and previous user reports.",0.95,message_0357;message_0048
sample_msg_044,notify,promotion,"The message is highly relevant to the 'Myntra Marketplace' group context. The user has a strong history of opening and replying to previous messages regarding this specific item, indicating active interest.",0.82,message_0401;message_0095;message_0066
sample_msg_045,mute,spam,User has explicitly muted this group and previously reported the sender. The content is a repeated commercial sale update.,0.95,message_0115;message_0335;message_0025
sample_msg_046,notify,business_update,"This is an official school circular from a dedicated parent group, containing critical information about timing and consent notes. The content is highly relevant to the user's life, and historical context shows the user actively engages with these important administrative notices.",0.95,message_0403;message_0051;message_0037
sample_msg_047,digest,promotion,"The message is a promotional reminder from a verified business (Myntra). Given the user's history of dismissing similar offers, it is treated as low-priority content rather than an urgent notification.",0.81,message_0402
sample_msg_048,digest,business_update,"The message is a safety advisory from a verified business account (Hoop). The user has previously engaged with this type of content, indicating interest in security updates.",0.75,message_0412
sample_msg_049,notify,event,"The message concerns immediate, time-sensitive coordination for a shared event (volunteering), requiring user attention.",0.55,message_0301;message_0299;message_0396
sample_msg_050,digest,personal,"The message is a personal update confirming arrival and stating that the sender does not want to be called now, suggesting talking tomorrow morning. This is low priority but useful context.",0.85,message_0167;message_0359;message_0226
sample_msg_051,notify,urgent,"The message contains explicit time-sensitive language ('escalation starts in 20 minutes,' 'need quick help') regarding a critical system alert, matching the pattern of previous urgent work requests.",0.8,message_0228;message_0362;message_0055
sample_msg_052,mute,scam,"The message attempts to trick the user into revealing a sensitive login code, which is characteristic of phishing/scam activity. Furthermore, the user has previously reported this sender and similar messages.",0.9,message_0238;message_0381
sample_msg_053,mute,scam,"The message uses urgent financial language ('wallet verification failed,' 'reply with the OTP') and manipulative instructions, which are hallmarks of a phishing or scam attempt.",0.75,message_0173;message_0214;message_0196
